topo,n,rate,pat,sent,recv,time_taken,injection_rate,sustained_rate,if_worst_latency,queue_cumu_worst_latency,sum_queueing,worst_total_latency,sa,average_latency
bp_XBAR,64,40,local,65536,65536,2720,.400,.376,19,5,4772,19,.38320264629289215686,3.79600524902343750000
bp_XBAR,64,47,local,65536,65536,2320,.470,.441,23,6,9545,23,.44131420617816091954,4.06427001953125000000
bp_XBAR,64,38,local,65536,65536,2864,.380,.357,19,5,4018,19,.36582222197974860335,3.74870300292968750000
bp_XBAR,64,46,local,65536,65536,2359,.460,.434,21,8,8435,22,.43509895612547689699,4.01295471191406250000
bp_XBAR,64,37,local,65536,65536,2960,.370,.345,18,6,3636,18,.35469057925112612612,3.71932983398437500000
bp_XBAR,64,43,local,65536,65536,2534,.430,.404,22,9,6483,22,.40829715864246250986,3.90982055664062500000
bp_XBAR,64,39,local,65536,65536,2784,.390,.367,19,5,4499,19,.37540690104166666666,3.78221130371093750000
bp_XBAR,64,41,local,65536,65536,2653,.410,.385,19,5,5207,19,.39190941465636386480,3.82225036621093750000
bp_XBAR,64,42,local,65536,65536,2591,.420,.395,19,7,5777,19,.40027579441657017882,3.85908508300781250000
bp_XBAR,64,44,local,65536,65536,2492,.440,.410,19,8,7000,20,.41399248428303905831,3.93148803710937500000
bp_XBAR,64,45,local,65536,65536,2425,.450,.422,20,10,7838,21,.42439755154639175257,3.98013305664062500000
bp_XBAR,64,48,local,65536,65536,2279,.480,.449,25,8,10297,25,.44809035395641363170,4.10911560058593750000
bp_XBAR,64,49,local,65536,65536,2218,.490,.461,28,11,11687,28,.45886696441989780583,4.15505981445312500000
bp_XBAR,64,50,local,65536,65536,2178,.500,.470,29,10,12495,29,.46602088594276094276,4.18806457519531250000
hoplite_1,64,1,local,65536,65536,53684,1,1,1,1,1,650,.04020198057149243722,32.93519592285156250000
hoplite_1,64,2,local,65536,65536,35506,2,1,1,1,1,468,.06191559173097504647,45.25547790527343750000
hoplite_1,64,3,local,65536,65536,26956,3,1,1,1,1,489,.08329778156996587030,60.76243591308593750000
hoplite_1,64,4,local,65536,65536,21815,4,1,1,1,1,485,.10463390060356024142,82.60589599609375000000
hoplite_1,64,5,local,65536,65536,18350,5,1,1,1,1,559,.12656022933696639418,103.87951660156250000000
