topo,n,rate,pat,sent,recv,time_taken,injection_rate,sustained_rate,if_worst_latency,queue_cumu_worst_latency,sum_queueing,worst_total_latency,sa
hoplite_1,49,100,random,50176,50176,7682,100,1,1,1,1,6659,.50606063826207390011
hoplite_1,49,100,local,50176,50176,5149,100,1,1,1,1,4129,.52090690616895427815
hoplite_1,64,100,random,65536,65536,9038,100,1,1,1,1,8017,.49935572951242900346
hoplite_1,64,100,local,65536,65536,5920,100,1,1,1,1,4899,.51509009009009009009
CMU,16,10,local,16384,16384,10716,.100,.095,8,8,0,0,0
CMU,16,20,local,16384,16384,5409,.200,.189,9,9,0,0,0
CMU,16,30,local,16384,16384,3605,.300,.284,11,11,0,0,0
CMU,16,40,local,16384,16384,2643,.400,.387,12,12,0,0,0
CMU,16,50,local,16384,16384,2106,.500,.486,15,15,0,0,0
CMU,16,60,local,16384,16384,1752,.600,.584,19,19,277,0,0
CMU,16,70,local,16384,16384,1510,.700,.678,31,56,25706,0,0
CMU,16,80,local,16384,16384,1493,.800,.685,58,255,381969,0,0
CMU,16,90,local,16384,16384,1512,.900,.677,102,393,1332999,0,0
CMU,16,100,local,16384,16384,1524,1.000,.671,84,501,2266322,0,0
CMU,16,10,random,16384,16384,10716,.100,.095,10,10,0,0,0
CMU,16,20,random,16384,16384,5411,.200,.189,14,14,0,0,0
CMU,16,30,random,16384,16384,3605,.300,.284,13,13,0,0,0
CMU,16,40,random,16384,16384,2643,.400,.387,16,16,0,0,0
CMU,16,50,random,16384,16384,2109,.500,.485,21,21,1,0,0
CMU,16,60,random,16384,16384,1752,.600,.584,32,32,266,0,0
CMU,16,70,random,16384,16384,1531,.700,.668,54,123,165525,0,0
CMU,16,80,random,16384,16384,1588,.800,.644,68,369,1385862,0,0
CMU,16,90,random,16384,16384,1602,.900,.639,59,503,2589599,0,0
CMU,16,100,random,16384,16384,1575,1.000,.650,57,561,3411133,0,0
CMU,8,100,random,8192,8192,1451,1.000,.705,45,419,1540187,434,0
CMU,32,100,random,32768,32768,1715,1.000,.597,81,679,7749669,706,0
CMU,64,100,random,65536,65536,1909,1.000,.536,118,872,18146672,894,0
IC,16,100,local,16384,16384,2053,1.000,.498,5,1025,8399911,1029,0
IC,16,100,random,16384,16382,5598,1.000,.182,30,4574,16346849,4576,0
IC,2,100,random,2048,2048,1028,1.000,.996,1,3,6144,4
IC,4,100,random,4096,4096,2052,1.000,.499,5,1025,2100233,1029
IC,8,100,random,8192,8192,2053,1.000,.498,5,1025,4201487,1029
