topo,n,rate,pat,sent,recv,time_taken,injection_rate,sustained_rate,if_worst_latency,queue_cumu_worst_latency,sum_queueing,worst_total_latency
fc_BFT2,16,90,random,16384,16384,2029,.900,.504,49,915,6254097,923
fc_BFT2,16,100,random,16384,16384,1968,1.000,.520,47,935,6980821,945
ld_TREE,16,30,local,16384,16384,3654,.300,.280,58,49,12061,63
ld_TREE,16,20,local,16384,16384,5528,.200,.185,31,10,1336,31
ld_TREE,16,50,local,16384,16384,3758,.500,.272,142,2151,8430608,2161
ld_TREE,16,10,local,16384,16384,10839,.100,.094,21,7,191,21
ld_TREE,16,60,local,16384,16384,3890,.600,.263,149,2471,13033517,2481
ld_TREE,16,40,local,16384,16384,3512,.400,.291,103,1473,3542840,1489
ld_TREE,16,80,local,16384,16384,4070,.800,.251,411,2882,18047430,2892
ld_TREE,16,70,local,16384,16384,3884,.700,.263,318,2584,15004920,2592
ld_TREE,16,100,local,16384,16384,3916,1.000,.261,370,2889,19151864,2898
ld_TREE,16,10,random,16384,16384,10841,.100,.094,40,9,709,40
ld_TREE,16,90,local,16384,16384,4111,.900,.249,449,3016,19853959,3026
ld_TREE,16,20,random,16384,16384,5533,.200,.185,100,599,2061726,624
ld_TREE,16,30,random,16384,16384,5426,.300,.188,104,2266,15859565,2285
ld_TREE,16,50,random,16384,16384,5391,.500,.189,133,3401,26626943,3414
ld_TREE,16,40,random,16384,16384,5422,.400,.188,93,2965,22684390,2982
ld_TREE,16,60,random,16384,16384,5379,.600,.190,105,3665,29449055,3674
ld_TREE,16,70,random,16384,16384,5335,.700,.191,110,3867,31334661,3877
ld_TREE,16,80,random,16384,16384,5373,.800,.190,127,4084,32996755,4095
ld_TREE,16,90,random,16384,16384,5366,.900,.190,98,4220,34099266,4228
ld_TREE,16,100,random,16384,16384,5366,1.000,.190,98,4335,34996730,4343
ld_XBAR,16,10,local,16384,16384,10839,.100,.094,14,1,2,14
ld_XBAR,16,30,local,16384,16384,3654,.300,.280,24,8,475,24
ld_XBAR,16,20,local,16384,16384,5528,.200,.185,16,8,116,16
ld_XBAR,16,40,local,16384,16384,2672,.400,.383,28,14,1605,28
ld_XBAR,16,60,local,16384,16384,1823,.600,.561,449,139,229315,489
ld_XBAR,16,50,local,16384,16384,2121,.500,.482,88,17,5679,88
ld_XBAR,16,70,local,16384,16384,1885,.700,.543,434,430,1920901,661
ld_XBAR,16,100,local,16384,16384,2354,1.000,.435,944,1326,9727688,1358
ld_XBAR,16,80,local,16384,16384,1987,.800,.515,670,762,4369670,849
ld_XBAR,16,90,local,16384,16384,2242,.900,.456,584,1143,6705647,1245
ld_XBAR,16,10,random,16384,16384,10841,.100,.094,18,1,4,18
ld_XBAR,16,20,random,16384,16384,5533,.200,.185,28,5,95,28
ld_XBAR,16,30,random,16384,16384,3652,.300,.280,51,9,570,51
ld_XBAR,16,60,random,16384,16384,2035,.600,.503,158,384,2384746,429
ld_XBAR,16,40,random,16384,16384,2678,.400,.382,92,9,2258,92
ld_XBAR,16,50,random,16384,16384,2124,.500,.482,125,46,37067,125
ld_XBAR,16,70,random,16384,16384,2026,.700,.505,194,607,4063701,632
ld_XBAR,16,80,random,16384,16384,2068,.800,.495,196,803,5848777,832
ld_MESH0,16,10,local,16384,16384,10839,.100,.094,14,1,2,14
ld_MESH0,16,20,local,16384,16384,5528,.200,.185,18,8,123,18
ld_XBAR,16,90,random,16384,16384,2028,.900,.504,122,894,6986981,941
ld_XBAR,16,100,random,16384,16384,2032,1.000,.503,130,1001,7814988,1049
ld_MESH0,16,30,local,16384,16384,3654,.300,.280,26,8,485,26
ld_MESH0,16,40,local,16384,16384,2672,.400,.383,48,14,1680,48
ld_MESH0,16,50,local,16384,16384,2121,.500,.482,146,34,23322,146
ld_MESH0,16,60,local,16384,16384,2275,.600,.450,243,766,1792084,790
ld_MESH0,16,70,local,16384,16384,2269,.700,.451,226,936,3930429,949
ld_MESH0,16,80,local,16384,16384,2482,.800,.412,352,1266,6820567,1281
ld_MESH0,16,100,local,16384,16384,2722,1.000,.376,733,1691,11850752,1703
ld_MESH0,16,90,local,16384,16384,2521,.900,.406,378,1422,8662986,1438
ld_MESH0,16,10,random,16384,16384,10841,.100,.094,20,1,5,20
ld_MESH0,16,20,random,16384,16384,5533,.200,.185,40,5,168,40
ld_MESH0,16,30,random,16384,16384,3652,.300,.280,40,10,1496,40
ld_MESH0,16,40,random,16384,16384,2678,.400,.382,90,152,500056,180
ld_MESH0,16,50,random,16384,16384,2631,.500,.389,75,647,4272525,674
ld_MESH0,16,60,random,16384,16384,2628,.600,.389,65,903,7002215,922
ld_MESH0,16,70,random,16384,16384,2640,.700,.387,70,1176,9078734,1191
ld_MESH0,16,80,random,16384,16384,2612,.800,.392,80,1356,10544128,1374
ld_MESH0,16,90,random,16384,16384,2624,.900,.390,78,1489,11805156,1503
ld_MESH0,16,100,random,16384,16384,2631,1.000,.389,116,1601,12599269,1611
ld_MESH1,16,10,local,16384,16384,10839,.100,.094,14,1,2,14
ld_MESH1,16,20,local,16384,16384,5528,.200,.185,16,8,116,16
ld_MESH1,16,30,local,16384,16384,3654,.300,.280,24,8,475,24
ld_MESH1,16,50,local,16384,16384,2121,.500,.482,76,14,5947,76
ld_MESH1,16,40,local,16384,16384,2672,.400,.383,30,14,1610,30
ld_MESH1,16,60,local,16384,16384,1872,.600,.547,374,267,360185,492
ld_MESH1,16,70,local,16384,16384,1999,.700,.512,286,631,2388004,681
ld_MESH1,16,80,local,16384,16384,2273,.800,.450,724,1041,5716830,1050
ld_MESH1,16,90,local,16384,16384,2287,.900,.447,508,1178,7186962,1197
ld_MESH1,16,100,local,16384,16384,2421,1.000,.422,592,1393,9911875,1414
ld_MESH1,16,10,random,16384,16384,10841,.100,.094,18,1,4,18
ld_MESH1,16,20,random,16384,16384,5533,.200,.185,28,5,97,28
ld_MESH1,16,30,random,16384,16384,3652,.300,.280,45,9,535,45
ld_MESH1,16,40,random,16384,16384,2678,.400,.382,54,15,3262,54
ld_MESH1,16,50,random,16384,16384,2180,.500,.469,98,171,647401,204
