n,topo,dw,sa,dynamic,total
16,IC,32,70,1.229,3.817
16,IC,32,80,1.358,3.948
16,IC,32,90,1.486,4.078
16,IC,32,100,1.614,4.208
64,fc_BFT0,32,10,2.365,4.971
64,fc_BFT0,32,20,3.284,5.907
64,fc_BFT0,32,30,4.138,6.775
64,fc_BFT0,32,40,4.947,7.598
64,fc_BFT0,32,50,5.723,8.388
64,fc_BFT0,32,60,6.474,9.153
64,fc_BFT0,32,70,7.206,9.898
64,fc_BFT0,32,80,7.920,10.626
64,fc_BFT0,32,90,8.618,11.337
64,fc_BFT0,32,100,9.300,12.032
64,fc_BFT3,32,10,6.361,9.038
64,fc_BFT3,32,20,9.417,12.151
64,fc_BFT3,32,30,12.176,14.966
64,fc_BFT3,32,40,14.775,17.622
64,fc_BFT3,32,50,17.259,20.164
64,fc_BFT3,32,60,19.564,22.524
64,fc_BFT3,32,70,21.882,24.901
64,fc_BFT3,32,80,24.605,27.698
64,fc_BFT3,32,90,26.838,29.996
64,fc_BFT3,32,100,29.010,32.233
64,fc_BFT1,32,10,3.728,6.358
64,fc_BFT1,32,20,5.550,8.212
64,fc_BFT1,32,30,7.095,9.785
64,fc_BFT1,32,40,8.609,11.328
64,fc_BFT1,32,50,10.059,12.806
64,fc_BFT1,32,60,11.458,14.234
64,fc_BFT1,32,70,12.818,15.622
64,fc_BFT1,32,80,14.144,16.977
64,fc_BFT1,32,90,15.439,18.301
64,fc_BFT1,32,100,16.693,19.583
64,fc_BFT2,32,10,4.774,7.422
64,fc_BFT2,32,20,7.036,9.725
64,fc_BFT2,32,30,9.074,11.802
64,fc_BFT2,32,40,10.991,13.758
64,fc_BFT2,32,50,12.821,15.625
64,fc_BFT2,32,60,14.584,17.427
64,fc_BFT2,32,70,16.215,19.094
64,fc_BFT2,32,80,17.877,20.796
64,fc_BFT2,32,90,19.860,22.828
64,fc_BFT2,32,100,21.463,24.472
16,fc4_BFT3,32,10,0.584,3.161
16,fc4_BFT3,32,20,0.867,3.449
16,fc4_BFT3,32,30,1.135,3.722
16,fc4_BFT3,32,40,1.393,3.983
16,fc4_BFT3,32,50,1.641,4.235
16,fc4_BFT3,32,100,2.762,5.376
16,fc4_BFT3,64,10,1.042,3.627
16,fc4_BFT3,64,20,1.564,4.158
16,fc4_BFT3,64,30,2.062,4.664
16,fc4_BFT3,64,40,2.541,5.151
16,fc4_BFT3,64,50,3.004,5.622
16,fc4_BFT3,64,100,5.127,7.781
